game_id,hometeam,home_recent_form
WS1191105040,WS1,
WS1191105050,WS1,
WS1191105060,WS1,
WS1191105270,WS1,
WS1191105291,WS1,
WS1191105292,WS1,
WS1191105301,WS1,
WS1191105302,WS1,
WS1191105310,WS1,
WS1191106010,WS1,
WS1191106020,WS1,
WS1191106030,WS1,
WS1191106050,WS1,
WS1191106060,WS1,
WS1191106070,WS1,
WS1191106080,WS1,
WS1191106090,WS1,
WS1191106100,WS1,
WS1191106120,WS1,
WS1191106140,WS1,
WS1191106150,WS1,
WS1191106160,WS1,
WS1191106281,WS1,
WS1191106282,WS1,
WS1191106290,WS1,
WS1191106300,WS1,
WS1191107010,WS1,
