mlbam_pitcher_id,player_name,tempo_be_sec,tempo_ro_sec
467100,"Nova, Iván",15.149,15.149
502046,"Locke, Jeff",15.15,15.15
681293,"Arrighetti, Spencer",15.153,15.153
669302,"Gilbert, Logan",15.153,15.153
608335,"Funkhouser, Kyle",15.157,15.157
682120,"Herrin, Tim",15.159,15.159
543408,"Koehler, Tom",15.163,15.163
676710,"Crawford, Kutter",15.164,15.164
502211,"Bolsinger, Mike",15.173,15.173
667755,"Soriano, José",15.176,15.176
670970,"Morejon, Adrian",15.177,15.177
571946,"Miller, Shelby",15.181,15.181
519043,"Moore, Matt",15.183,15.183
595191,"Eickhoff, Jerad",15.187,15.187
675911,"Strider, Spencer",15.188,15.188
670056,"Baragar, Caleb",15.189,15.189
543272,"Hand, Brad",15.19,15.19
545363,"Turner, Jacob",15.195,15.195
676282,"Cantillo, Joey",15.199,15.199
656464,"Ginkel, Kevin",15.205,15.205
664353,"Urquidy, José",15.206,15.206
543144,"Farquhar, Danny",15.208,15.208
543507,"May, Trevor",15.211,15.211
607215,"Skoglund, Eric",15.215,15.215
622766,"Díaz, Miguel",15.215,15.215
450306,"Vargas, Jason",15.216,15.216
643493,"Pruitt, Austin",15.219,15.219
622503,"Crismatt, Nabil",15.226,15.226
680767,"Vodnik, Victor",15.228,15.228
663765,"Woodford, Jake",15.229,15.229
628333,"Despaigne, Odrisamer",15.248,15.248
594798,"deGrom, Jacob",15.249,15.249
450665,"Medlen, Kris",15.249,15.249
670766,"McCaughan, Darren",15.251,15.251
643230,"Brault, Steven",15.263,15.263
621074,"Rucker, Michael",15.263,15.263
665620,"García, Deivi",15.278,15.278
593679,"Ynoa, Gabriel",15.282,15.282
519141,"Pomeranz, Drew",15.282,15.282
434538,"Liriano, Francisco",15.282,15.282
678495,"Rodríguez, Randy",15.282,15.282
592789,"Syndergaard, Noah",15.287,15.287
702352,"Bivens, Spencer",15.291,15.291
686539,"Cronin, Declan",15.294,15.294
642092,"Smith, Riley",15.294,15.294
501957,"Tillman, Chris",15.296,15.296
691587,"Pérez, Eury",15.31,15.31
462382,"Johnson, Jim",15.315,15.315
607219,"Romano, Sal",15.315,15.315
593423,"Montas, Frankie",15.315,15.315
605156,"Brooks, Aaron",15.316,15.316
656794,"Newcomb, Sean",15.322,15.322
458681,"Lynn, Lance",15.326,15.326
518420,"Axelrod, Dylan",15.326,15.326
456776,"Torres, Alex",15.326,15.326
521230,"Hendriks, Liam",15.342,15.342
695243,"Miller, Mason",15.345,15.345
612672,"Chen, Wei-Yin",15.349,15.349
622554,"Domínguez, Seranthony",15.349,15.349
553878,"Vázquez, Felipe",15.349,15.349
462136,"Estrada, Marco",15.354,15.354
670059,"Holderman, Colin",15.354,15.354
680723,"Rom, Drew",15.357,15.357
623352,"Hader, Josh",15.363,15.363
670950,"Richards, Trevor",15.364,15.364
676440,"Bibee, Tanner",15.372,15.372
434628,"Hammel, Jason",15.373,15.373
518790,"Heston, Chris",15.373,15.373
517593,"Salazar, Danny",15.382,15.382
622694,"Hernández, Elieser",15.382,15.382
622608,"Senzatela, Antonio",15.382,15.382
112526,"Colon, Bartolo",15.383,15.383
656529,"Hentges, Sam",15.391,15.391
696136,"Wicks, Jordan",15.392,15.392
666374,"Brash, Matt",15.396,15.396
605242,"Fulmer, Michael",15.416,15.416
501925,"Smith, Joe",15.419,15.419
671212,"Boyle, Joe",15.419,15.419
279782,"Garland, Jon",15.429,15.429
656638,"Lange, Alex",15.436,15.436
458709,"Lannan, John",15.451,15.451
623437,"Topa, Justin",15.455,15.455
435221,"McCarthy, Brandon",15.456,15.456
663485,"Sands, Cole",15.458,15.458
622253,"Tate, Dillon",15.46,15.46
663773,"Hoeing, Bryan",15.463,15.463
621219,"Mills, Alec",15.464,15.464
665152,"Kremer, Dean",15.465,15.465
571656,"Farmer, Buck",15.465,15.465
672578,"Hernández, Carlos",15.473,15.473
425794,"Wainwright, Adam",15.474,15.474
346798,"Lohse, Kyle",15.478,15.478
544150,"Suárez, Albert",15.483,15.483
543557,"Montgomery, Mike",15.492,15.492
572403,"VerHagen, Drew",15.507,15.507
592804,"Thornburg, Tyler",15.507,15.507
573009,"Mantiply, Joe",15.509,15.509
663559,"Falter, Bailey",15.51,15.51
657097,"Webb, Jacob",15.512,15.512
608717,"Stratton, Chris",15.516,15.516
592717,"Sanchez, Aaron",15.518,15.518
543495,"Martin, Ethan",15.519,15.519
641585,"France, J.P.",15.53,15.53
595014,"Treinen, Blake",15.535,15.535
641703,"Honeywell, Brent",15.542,15.542
643377,"Jax, Griffin",15.542,15.542
607481,"Bummer, Aaron",15.545,15.545
640462,"Puk, A.J.",15.546,15.546
594742,"Asher, Alec",15.549,15.549
621142,"Buttrey, Ty",15.549,15.549
592644,"Plutko, Adam",15.549,15.549
607644,"Means, John",15.549,15.549
641729,"Jiménez, Joe",15.554,15.554
277417,"Beckett, Josh",15.561,15.561
656302,"Cease, Dylan",15.569,15.569
605347,"López, Jorge",15.572,15.572
453249,"Manship, Jeff",15.581,15.581
453281,"LeBlanc, Wade",15.582,15.582
621112,"Blackburn, Paul",15.582,15.582
642546,"Hernández, Jonathan",15.584,15.584
669796,"Hernandez, Jose E.",15.584,15.584
606965,"Devenski, Chris",15.59,15.59
502706,"Holland, Derek",15.59,15.59
641743,"Kay, Anthony",15.593,15.593
628711,"Urías, Julio",15.595,15.595
534910,"Hahn, Jesse",15.596,15.596
571786,"Hollands, Mario",15.598,15.598
664208,"Maton, Phil",15.602,15.602
608331,"Fried, Max",15.606,15.606
467008,"Strop, Pedro",15.616,15.616
519144,"Porcello, Rick",15.616,15.616
431162,"Stauffer, Tim",15.62,15.62
592662,"Ray, Robbie",15.621,15.621
544931,"Strasburg, Stephen",15.622,15.622
661395,"Duran, Jhoan",15.623,15.623
663878,"Pearson, Nate",15.632,15.632
605538,"Wisler, Matt",15.637,15.637
500779,"Quintana, Jose",15.639,15.639
594986,"Ryan, Kyle",15.648,15.648
598286,"Ramirez, Nick",15.649,15.649
663567,"Lambert, Peter",15.649,15.649
605446,"Rodríguez, Dereck",15.649,15.649
642232,"Yarbrough, Ryan",15.649,15.649
683003,"Jones, Jared",15.659,15.659
504379,"Nicasio, Juan",15.663,15.663
681806,"Wantz, Andrew",15.666,15.666
681190,"Vásquez, Randy",15.669,15.669
446641,"Lopez, Wilton",15.671,15.671
681217,"Silseth, Chase",15.677,15.677
621053,"Ferguson, Tyler",15.677,15.677
518553,"Cishek, Steve",15.682,15.682
593576,"Neris, Héctor",15.683,15.683
663455,"Pilkington, Konnor",15.686,15.686
656234,"Bird, Jake",15.686,15.686
670174,"Winckowski, Josh",15.696,15.696
622098,"Smith, Drew",15.698,15.698
605138,"Benjamin, Wes",15.701,15.701
668933,"Ashcraft, Graham",15.702,15.702
493157,"Uehara, Koji",15.71,15.71
448614,"Torres, Carlos",15.713,15.713
450308,"Weaver, Jered",15.715,15.715
608349,"Knebel, Corey",15.719,15.719
592351,"Gray, Jon",15.727,15.727
448802,"García, Jaime",15.728,15.728
676534,"Faucher, Calvin",15.73,15.73
552640,"Kittredge, Andrew",15.731,15.731
664141,"Brubaker, JT",15.733,15.733
623465,"Phillips, Evan",15.738,15.738
452733,"Gorzelanny, Tom",15.74,15.74
672335,"Pérez, Cionel",15.741,15.741
694297,"Pfaadt, Brandon",15.744,15.744
663776,"Sandoval, Patrick",15.749,15.749
592665,"Reed, Addison",15.749,15.749
502748,"Peacock, Brad",15.755,15.755
572102,"Sampson, Keyvius",15.761,15.761
475479,"Phelps, David",15.761,15.761
605483,"Snell, Blake",15.762,15.762
663423,"Thornton, Trent",15.765,15.765
663704,"McArthur, James",15.767,15.767
605276,"Hess, David",15.782,15.782
434671,"Sánchez, Aníbal",15.784,15.784
571800,"Hutchison, Drew",15.784,15.784
543606,"Odorizzi, Jake",15.787,15.787
554340,"García, Yimi",15.79,15.79
686610,"Waldichuk, Ken",15.792,15.792
453286,"Scherzer, Max",15.792,15.792
613534,"Adams, Austin",15.793,15.793
668941,"Romero, JoJo",15.793,15.793
664299,"Javier, Cristian",15.802,15.802
518468,"Blazek, Michael",15.814,15.814
430935,"Hamels, Cole",15.814,15.814
605447,"Romano, Jordan",15.815,15.815
534947,"Adleman, Tim",15.816,15.816
570240,"Peña, Félix",15.816,15.816
656061,"Abreu, Albert",15.82,15.82
621363,"Poche, Colin",15.823,15.823
663941,"Beck, Tristan",15.827,15.827
600986,"Vieira, Thyago",15.829,15.829
700249,"Povich, Cade",15.83,15.83
517060,"Hernandez, Pedro",15.834,15.834
640451,"Harvey, Hunter",15.834,15.834
461872,"Swarzak, Anthony",15.836,15.836
119984,"Oliver, Darren",15.838,15.838
679885,"Martinez, Justin",15.845,15.845
680897,"Nastrini, Nick",15.846,15.846
592332,"Gausman, Kevin",15.849,15.849
642098,"Sparkman, Glenn",15.849,15.849
694973,"Skenes, Paul",15.867,15.867
622250,"Sborz, Josh",15.871,15.871
593144,"Rodríguez, Richard",15.883,15.883
592761,"Smith, Caleb",15.883,15.883
662253,"Muñoz, Andrés",15.884,15.884
669387,"Mlodzinski, Carmen",15.89,15.89
661403,"Clase, Emmanuel",15.9,15.9
457918,"Happ, J.A.",15.915,15.915
606273,"Elías, Roenis",15.916,15.916
434672,"Smith, Chris",15.916,15.916
677976,"Dobnak, Randy",15.921,15.921
453307,"Huff, David",15.924,15.924
605280,"Holmes, Clay",15.931,15.931
554234,"Pérez, Williams",15.933,15.933
408241,"Peavy, Jake",15.935,15.935
641360,"Bickford, Phil",15.941,15.941
519263,"Schugel, A.J.",15.946,15.946
605254,"Gossett, Daniel",15.949,15.949
452657,"Lester, Jon",15.949,15.949
623167,"Flexen, Chris",15.952,15.952
657649,"Koenig, Jared",15.954,15.954
668674,"Erceg, Lucas",15.954,15.954
665625,"Peguero, Elvis",15.955,15.955
407793,"Lackey, John",15.958,15.958
669022,"Gore, MacKenzie",15.961,15.961
605240,"Fry, Jace",15.965,15.965
657140,"Wright, Kyle",15.974,15.974
451584,"Davis, Wade",15.979,15.979
621385,"Stumpf, Daniel",15.982,15.982
643327,"Godley, Zack",15.983,15.983
656793,"Nelson, Nick",15.983,15.983
657044,"Thompson, Ryan",15.991,15.991
279571,"Belisle, Matt",15.993,15.993
573204,"Thielbar, Caleb",15.995,15.995
502085,"Robertson, David",16.007,16.007
570666,"Cessa, Luis",16.008,16.008
608648,"Duffey, Tyler",16.016,16.016
605513,"Turnbull, Spencer",16.016,16.016
571735,"Hale, David",16.018,16.018
502011,"Claiborne, Preston",16.02,16.02
543779,"Siegrist, Kevin",16.021,16.021
621121,"McCullers Jr., Lance",16.025,16.025
446185,"Ondrusek, Logan",16.031,16.031
450351,"Wilson, C.J.",16.033,16.033
502253,"Sanabia, Alex",16.036,16.036
666974,"Cano, Yennier",16.037,16.037
600917,"Leclerc, José",16.041,16.041
456071,"Flande, Yohan",16.044,16.044
579328,"Kikuchi, Yusei",16.047,16.047
622864,"Romero, Fernando",16.049,16.049
641871,"Middleton, Keynan",16.05,16.05
543331,"Hoover, J.J.",16.051,16.051
686799,"Kochanowicz, Jack",16.051,16.051
465629,"Mujica, Edward",16.054,16.054
503449,"Peralta, Wily",16.056,16.056
666808,"Doval, Camilo",16.064,16.064
656550,"Holmes, Grant",16.072,16.072
664875,"Lawrence, Justin",16.073,16.073
624522,"Thompson, Keegan",16.074,16.074
669920,"Alexander, Jason",16.076,16.076
623439,"Garton, Ryan",16.081,16.081
