game_id,inputprogvers,visteam,hometeam,date,site,number,starttime,daynight,usedh,scorer,translator,inputter,inputtime,umphome,ump1b,ump2b,ump3b,howscored,pitches,temp,winddir,windspeed,fieldcond,precip,sky,timeofgame,attendance,wp,lp,save,gwrbi,gametype,innings
WS1194009290,"""version 7RS(19) of 07/07/92""",NYA,WS1,1940/09/29,WAS09,0,0:00PM,day,false,"""315,96,222""","""Pete Cottrell""","""Pete Cottrell""",2015/03/05 9:43AM,grieb901,quinj901,(none),ormsr901,park,none,0,unknown,-1,unknown,unknown,unknown,149,7000,bonht101,leond103,,,,
BRO194004190,"""version 7RS(19) of 07/07/92""",NY1,BRO,1940/04/19,NYC15,0,0:00PM,day,false,344,"""Dick Cramer""","""Dick Cramer""",2012/03/04 1:40PM,pineb101,goetl901,(none),rearb901,unknown,none,0,unknown,-1,unknown,unknown,unknown,138,24741,caseh101,schuh103,,,,
BRO194004230,"""version 7RS(19) of 07/07/92""",BSN,BRO,1940/04/23,NYC15,0,0:00PM,day,false,344,"""Dick Cramer""","""Dick Cramer""",2012/03/04 3:30PM,goetl901,rearb901,(none),pineb101,unknown,none,0,unknown,-1,unknown,unknown,unknown,135,13284,carlt101,strin101,,,,
BRO194004240,"""version 7RS(19) of 07/07/92""",BSN,BRO,1940/04/24,NYC15,0,0:00PM,day,false,344,"""Dick Cramer""","""Dick Cramer""",2012/03/04 4:40PM,rearb901,pineb101,(none),goetl901,unknown,none,0,unknown,-1,unknown,unknown,unknown,157,10480,kimbn101,swifb101,mungv101,,,
BRO194005100,"""version 7RS(19) of 07/07/92""",NY1,BRO,1940/05/10,NYC15,0,0:00PM,day,false,344,"""Dick Cramer""","""Dick Cramer""",2012/03/06 5:00PM,barrg901,mageg901,(none),stewb901,unknown,none,0,unknown,-1,unknown,unknown,unknown,133,26608,gumbh101,wyatw101,,,,
BRO194005110,"""version 7RS(19) of 07/07/92""",PHI,BRO,1940/05/11,NYC15,0,0:00PM,day,false,344,"""Dick Cramer""","""Dick Cramer""",2012/03/06 6:00PM,mageg901,stewb901,(none),barrg901,unknown,none,0,unknown,-1,unknown,unknown,unknown,150,10870,higbk101,hamll101,,,,
BRO194005120,"""version 7RS(19) of 07/07/92""",PHI,BRO,1940/05/12,NYC15,0,0:00PM,day,false,344,"""Dick Cramer""","""Dick Cramer""",2012/03/09 8:00AM,stewb901,barrg901,(none),mageg901,unknown,none,0,unknown,-1,unknown,unknown,unknown,131,14505,fitzf101,johns103,prest101,,,
BRO194005130,"""version 7RS(19) of 07/07/92""",PHI,BRO,1940/05/13,NYC15,0,0:00PM,day,false,344,"""Dick Cramer""","""Dick Cramer""",2012/03/11 2:30PM,barrg901,mageg901,(none),stewb901,unknown,none,0,unknown,-1,unknown,unknown,unknown,130,5337,tamuv101,peari101,,,,
BRO194005140,"""version 7RS(19) of 07/07/92""",CIN,BRO,1940/05/14,NYC15,0,0:00PM,day,false,344,"""Dick Cramer""","""Dick Cramer""",2012/03/09 8:30PM,campb901,klemb901,(none),balll901,unknown,none,0,unknown,-1,unknown,unknown,unknown,191,21533,prest101,beggj101,,,,
BRO194005150,"""version 7RS(19) of 07/07/92""",CIN,BRO,1940/05/15,NYC15,0,0:00PM,day,false,344,"""Dick Cramer""","""Dick Cramer""",2012/03/10 7:30PM,klemb901,balll901,(none),campb901,unknown,none,0,unknown,-1,unknown,unknown,unknown,134,18403,thomj102,wyatw101,,,,
BRO194005170,"""version 7RS(19) of 07/07/92""",SLN,BRO,1940/05/17,NYC15,0,0:00PM,day,false,344,"""Dick Cramer""","""Dick Cramer""",2012/03/11 8:00PM,goetl901,rearb901,(none),pineb101,unknown,none,0,unknown,-1,unknown,unknown,unknown,146,11068,wyatw101,warnl101,,,,
BRO194005180,"""version 7RS(19) of 07/07/92""",SLN,BRO,1940/05/18,NYC15,0,0:00PM,day,false,"""344,102""","""Dick Cramer,Wayne Townsend""","""Dick Cramer,Wayne Townsend""",2012/03/11 9:00PM,rearb901,pineb101,(none),goetl901,unknown,none,0,unknown,-1,unknown,unknown,unknown,144,22965,mcgeb101,hamll101,shouc101,,,
BRO194005190,"""version 7RS(19) of 07/07/92""",CHN,BRO,1940/05/19,NYC15,0,0:00PM,day,false,344,"""Dick Cramer""","""Dick Cramer""",2012/03/11 9:00PM,searz901,dunnt901,(none),jordl901,unknown,none,0,unknown,-1,unknown,unknown,unknown,176,27923,mootj101,prest101,passc101,,,
BRO194005200,"""version 7RS(19) of 07/07/92""",CHN,BRO,1940/05/20,NYC15,0,0:00PM,day,false,344,"""Dick Cramer""","""Dick Cramer""",2012/03/12 8:00PM,dunnt901,jordl901,(none),searz901,unknown,none,0,unknown,-1,unknown,unknown,unknown,142,6326,lee-b103,caseh101,frenl101,,,
