game_id,inputprogvers,visteam,hometeam,date,site,number,starttime,daynight,usedh,scorer,translator,inputter,inputtime,umphome,ump1b,ump2b,ump3b,howscored,pitches,temp,winddir,windspeed,fieldcond,precip,sky,timeofgame,attendance,wp,lp,save,gwrbi,gametype,oscorer
PHA192208290,"""version 7RS(19) of 07/07/92""",BOS,PHA,1922/08/29,PHI11,0,0:00PM,day,false,"""286""","""286""","""Comly""",2013/06/06 12:27AM,evanb901,hildg101,(none),(none),park,none,0,unknown,-1,unknown,unknown,unknown,107,0,romme101,karrb101,,,,
PHA192208300,"""version 7RS(19) of 07/07/92""",BOS,PHA,1922/08/30,PHI11,0,0:00PM,day,false,"""286""","""286""","""Comly""",2013/06/06 7:46AM,hildg101,evanb901,(none),(none),park,none,0,unknown,-1,unknown,unknown,unknown,120,0,pennh101,naylr101,,,,
PHA192208310,"""version 7RS(19) of 07/07/92""",BOS,PHA,1922/08/31,PHI11,0,0:00PM,day,false,"""286""","""286""","""Comly""",2013/06/06 9:30AM,evanb901,hildg101,(none),(none),park,none,0,unknown,-1,unknown,unknown,unknown,62,0,collr104,harrs101,,,,
PHA192209010,"""version 7RS(19) of 07/07/92""",BOS,PHA,1922/09/01,PHI11,0,0:00PM,day,false,"""451""","""Cliff Blau""","""Cliff Blau""",2014/10/06 3:47PM,hildg101,evanb901,(none),(none),park,none,0,unknown,-1,unknown,unknown,unknown,110,0,romme101,karrb101,,,,
PHA192209021,,NYA,PHA,1922/09/02,PHI11,1,0:00,day,false,"""73""","""""","""DWV""",,evanb901,hildg101,(none),(none),park,none,0,unknown,-1,unknown,unknown,unknown,138,0,maysc101,naylr101,jones104,,,
PHA192209022,,NYA,PHA,1922/09/02,PHI11,2,0:00,day,false,"""73""","""""","""DWV""",,hildg101,evanb901,(none),(none),park,none,0,unknown,-1,unknown,unknown,unknown,100,20000,hastb101,shawb102,,,,
PHA192209110,"""version 7RS(19) of 07/07/92""",NYA,PHA,1922/09/11,PHI11,0,0:00,day,false,"""73,96""","""DWV,Wayne Townsend""","""DWV,Wayne Townsend""",,evanb901,hildg101,(none),(none),park,none,0,unknown,-1,unknown,unknown,unknown,117,5000,shawb102,hastb101,,,,
PHA192209281,"""version 7RS(19) of 07/07/92""",WS1,PHA,1922/09/28,PHI11,1,0:00,day,false,"""451""","""Cliff Blau""","""Cliff Blau""",2014/10/06 8:05PM,owenb901,nalld901,(none),(none),unknown,none,0,unknown,-1,unknown,unknown,unknown,127,0,mogrg101,romme101,,,,
PHA192209282,"""version 7RS(19) of 07/07/92""",WS1,PHA,1922/09/28,PHI11,2,0:00PM,day,false,"""451""","""Cliff Blau""","""Cliff Blau""",2014/10/07 1:31PM,nalld901,owenb901,(none),(none),park,none,0,unknown,-1,unknown,unknown,unknown,87,0,harrs101,franr101,,,,
PHA192209291,"""version 7RS(19) of 07/07/92""",WS1,PHA,1922/09/29,PHI11,1,0:00,day,false,"""451""","""Cliff Blau""","""Cliff Blau""",2014/10/07 4:13PM,owenb901,nalld901,(none),(none),park,none,0,unknown,-1,unknown,unknown,unknown,121,0,romme101,erice101,,,,
